wafer_id,step,t_sec,rf_forward_W,rf_reflected_W,chamber_pressure_mTorr,ar_flow_sccm,cf4_flow_sccm,esc_temp_C,he_backside_Torr,endpoint_intensity
WF0001,Stabilize,0,-26.23,1.84,34.079,94.76,-2.51,60.26,7.902,99.32
WF0001,Stabilize,1,-17.68,3.83,31.703,99.01,-4.18,59.76,7.903,98.08
WF0001,Stabilize,2,-33.49,3.12,32.564,100.29,-1.69,60.27,8.012,101.73
WF0001,Stabilize,3,-17.12,3.68,30.006,98.19,-6.4,59.41,7.932,98.07
WF0001,Stabilize,4,-32.4,4.35,30.605,99.4,-3.58,60.12,7.846,100.41
WF0001,Stabilize,5,-21.26,0.0,30.32,102.36,-1.66,59.47,8.015,100.37
WF0001,Stabilize,6,-18.16,0.35,29.459,101.01,-2.69,59.95,7.927,96.88
WF0001,Stabilize,7,-18.01,0.08,29.434,99.1,-3.15,60.44,8.104,98.49
WF0001,Stabilize,8,-25.81,5.06,29.387,102.44,-2.58,59.98,8.075,96.68
WF0001,Stabilize,9,-25.49,0.0,30.423,101.7,-3.43,60.56,8.025,101.02
WF0001,MainEtch,10,565.52,17.45,21.766,82.84,31.79,62.66,7.891,108.15
WF0001,MainEtch,11,632.9,16.7,21.183,81.77,32.52,62.5,8.154,101.34
WF0001,MainEtch,12,686.85,21.16,20.322,82.31,31.28,62.91,8.087,100.96
WF0001,MainEtch,13,712.19,20.5,20.751,88.31,32.9,62.42,8.072,106.87
WF0001,MainEtch,14,731.82,17.85,19.89,82.69,33.66,62.07,7.979,104.8
WF0001,MainEtch,15,740.73,18.84,20.144,84.58,32.32,62.91,8.036,111.59
WF0001,MainEtch,16,772.94,21.46,19.673,83.14,33.3,63.06,8.006,104.39
WF0001,MainEtch,17,764.35,18.06,19.788,82.99,32.6,62.36,7.944,103.31
WF0001,MainEtch,18,778.59,21.17,19.361,84.3,32.64,62.85,8.006,107.13
WF0001,MainEtch,19,781.1,17.95,19.477,85.28,32.46,62.47,8.166,103.73
WF0001,MainEtch,20,779.61,19.02,20.079,83.17,32.79,61.75,8.049,104.92
WF0001,MainEtch,21,772.38,21.71,19.816,86.55,33.14,62.35,8.032,104.47
WF0001,MainEtch,22,763.0,20.56,20.414,87.78,32.35,62.86,7.833,107.88
WF0001,MainEtch,23,777.2,21.62,20.063,83.73,32.52,62.36,8.072,107.82
WF0001,MainEtch,24,765.93,17.13,19.927,83.98,32.61,62.48,8.025,106.21
WF0001,MainEtch,25,776.99,19.61,19.205,84.3,32.26,62.83,7.973,106.24
WF0001,MainEtch,26,763.04,15.65,19.045,85.81,32.07,62.64,7.897,105.11
WF0001,MainEtch,27,774.63,15.64,20.065,85.4,33.08,62.65,7.937,104.85
WF0001,MainEtch,28,772.69,19.79,19.082,87.9,33.29,62.61,7.886,108.66
WF0001,MainEtch,29,781.96,20.67,20.007,86.07,34.1,62.49,8.05,103.87
WF0001,MainEtch,30,778.58,20.81,20.392,86.3,34.13,62.67,7.887,93.5
WF0001,MainEtch,31,775.51,16.36,18.88,86.33,33.29,62.35,7.695,100.87
WF0001,MainEtch,32,765.77,20.87,19.612,86.82,30.52,61.93,8.069,103.08
WF0001,MainEtch,33,771.6,16.25,19.874,84.54,32.11,62.19,8.069,101.78
WF0001,MainEtch,34,785.4,20.86,19.267,84.26,33.97,62.12,8.037,98.13
WF0001,MainEtch,35,773.14,18.79,20.129,87.77,32.35,62.36,8.031,89.98
WF0001,MainEtch,36,777.85,15.34,20.0,84.37,33.84,62.16,8.007,89.43
WF0001,MainEtch,37,776.56,20.38,19.31,85.19,32.57,62.24,8.156,83.1
WF0001,MainEtch,38,774.25,20.73,19.569,84.63,32.0,62.73,8.07,74.95
WF0001,MainEtch,39,770.01,19.4,19.968,84.1,33.19,62.9,7.908,73.28
WF0001,MainEtch,40,771.91,19.36,19.651,85.5,34.18,62.15,7.816,66.7
WF0001,MainEtch,41,787.7,17.9,19.071,81.23,33.34,62.93,7.817,58.58
WF0001,MainEtch,42,777.72,17.91,20.012,86.52,34.13,62.21,7.968,60.18
WF0001,MainEtch,43,776.06,18.63,19.718,87.34,34.66,62.29,8.196,51.9
WF0001,MainEtch,44,776.15,19.11,19.643,83.73,31.73,61.79,8.145,57.96
WF0001,MainEtch,45,775.26,21.74,20.369,87.18,30.82,62.64,8.238,51.77
WF0001,MainEtch,46,782.6,18.33,20.164,82.32,30.98,62.45,8.145,51.06
WF0001,MainEtch,47,767.98,20.4,19.878,83.45,33.26,63.13,7.837,46.06
WF0001,MainEtch,48,769.95,16.98,19.916,85.93,31.87,62.07,7.77,54.45
WF0001,MainEtch,49,792.67,18.43,20.153,85.34,32.79,61.97,7.907,49.17
WF0001,Overetch,50,362.5,13.43,27.371,89.25,15.24,59.98,7.89,48.9
WF0001,Overetch,51,397.07,9.95,26.566,87.3,16.4,59.47,8.019,44.24
WF0001,Overetch,52,424.62,11.94,25.607,89.2,19.34,59.7,8.027,46.25
WF0001,Overetch,53,438.77,15.48,26.383,90.03,15.75,59.97,8.0,46.06
WF0001,Overetch,54,460.25,15.07,25.814,91.63,14.9,59.66,7.93,42.53
WF0001,Overetch,55,454.92,14.14,24.727,88.3,19.06,60.18,8.026,41.93
WF0001,Overetch,56,467.1,14.72,24.746,91.06,15.82,60.33,8.011,44.66
WF0001,Overetch,57,474.64,14.59,24.08,88.37,18.54,60.73,7.941,43.53
WF0001,Overetch,58,481.07,16.58,25.043,90.54,17.27,60.5,7.958,45.29
WF0001,Overetch,59,486.47,10.87,24.945,93.58,16.34,60.63,7.784,44.57
WF0002,Stabilize,0,0.45,1.34,33.813,100.14,-0.76,60.35,8.103,98.01
WF0002,Stabilize,1,-2.97,0.18,32.065,102.78,0.22,60.15,7.851,94.64
WF0002,Stabilize,2,-3.25,3.31,31.165,102.71,0.58,60.3,8.164,97.0
WF0002,Stabilize,3,-15.51,2.18,30.85,103.95,1.82,60.51,7.988,95.73
WF0002,Stabilize,4,-6.99,0.0,30.953,103.81,0.89,60.78,7.981,102.4
WF0002,Stabilize,5,2.76,0.0,30.047,106.77,1.64,60.68,8.163,99.04
WF0002,Stabilize,6,-5.57,0.0,30.477,105.99,-0.77,60.14,8.016,94.05
WF0002,Stabilize,7,-12.61,0.0,29.963,106.86,0.61,60.33,7.956,101.8
WF0002,Stabilize,8,-4.65,0.0,30.295,100.74,-0.74,60.67,7.958,98.96
WF0002,Stabilize,9,-9.54,3.22,29.841,105.79,0.44,60.75,7.988,95.23
WF0002,MainEtch,10,587.76,14.23,22.267,80.5,38.15,62.84,8.121,97.03
WF0002,MainEtch,11,671.15,17.39,20.789,84.35,40.17,63.05,8.019,99.61
WF0002,MainEtch,12,710.56,17.54,20.836,83.06,39.48,63.39,7.826,99.27
WF0002,MainEtch,13,731.23,15.67,20.238,84.32,40.55,62.74,8.02,96.19
WF0002,MainEtch,14,745.58,18.13,20.771,80.64,40.63,63.07,8.094,99.85
WF0002,MainEtch,15,775.29,16.01,20.181,86.56,40.1,62.65,8.024,97.65
WF0002,MainEtch,16,776.93,17.24,19.998,86.31,43.62,63.27,7.974,95.17
WF0002,MainEtch,17,785.34,18.78,20.073,83.14,42.13,63.25,8.153,101.64
WF0002,MainEtch,18,792.33,17.22,20.127,85.54,39.33,62.76,8.24,99.22
WF0002,MainEtch,19,795.79,14.03,18.74,84.6,39.75,63.79,7.949,101.23
WF0002,MainEtch,20,804.25,15.8,19.709,83.37,41.32,62.83,7.997,99.77
WF0002,MainEtch,21,786.2,17.98,19.992,84.87,41.01,63.36,8.02,98.04
WF0002,MainEtch,22,793.93,16.49,20.238,85.17,40.37,62.29,7.964,97.53
WF0002,MainEtch,23,793.45,18.34,19.599,87.16,41.83,63.3,8.264,103.21
WF0002,MainEtch,24,805.75,14.65,19.707,83.42,40.64,63.15,7.929,99.15
WF0002,MainEtch,25,799.49,18.3,19.859,85.18,40.93,62.77,7.972,97.35
WF0002,MainEtch,26,792.96,15.04,19.647,86.79,41.26,63.12,7.928,98.12
WF0002,MainEtch,27,791.51,15.31,19.837,84.41,39.51,63.2,7.876,97.92
WF0002,MainEtch,28,793.0,15.22,18.972,84.84,42.44,62.5,7.96,99.52
WF0002,MainEtch,29,804.4,17.5,19.622,85.42,40.05,62.88,8.055,96.98
WF0002,MainEtch,30,792.01,18.53,19.78,85.25,42.42,63.84,7.974,100.11
WF0002,MainEtch,31,776.08,15.73,20.142,84.87,39.77,63.28,8.055,93.18
WF0002,MainEtch,32,804.35,16.92,20.298,83.03,41.97,63.22,8.049,98.67
WF0002,MainEtch,33,795.53,18.62,19.471,86.95,40.62,63.27,7.962,93.43
WF0002,MainEtch,34,796.74,17.42,19.593,86.77,41.55,63.06,8.112,92.07
WF0002,MainEtch,35,789.97,11.42,19.942,83.36,39.64,63.79,7.976,87.01
WF0002,MainEtch,36,801.07,18.99,19.707,84.84,40.85,63.66,8.006,81.05
WF0002,MainEtch,37,796.7,17.04,19.375,86.58,40.75,63.32,7.944,79.28
WF0002,MainEtch,38,793.98,19.3,19.759,84.89,39.61,63.01,7.942,73.71
WF0002,MainEtch,39,796.97,13.87,20.374,83.74,40.37,63.19,7.99,62.98
WF0002,MainEtch,40,794.76,17.46,20.427,86.35,40.54,63.49,8.06,61.1
WF0002,MainEtch,41,793.06,16.47,19.544,84.09,41.84,63.33,8.211,53.65
WF0002,MainEtch,42,800.62,13.59,19.603,86.53,42.93,63.61,8.089,54.67
WF0002,MainEtch,43,792.26,16.58,20.346,85.51,40.94,62.97,8.153,49.38
WF0002,MainEtch,44,779.41,14.8,20.183,82.74,40.6,63.08,7.959,39.95
WF0002,MainEtch,45,798.84,19.09,19.654,82.98,40.78,63.77,8.012,42.64
WF0002,MainEtch,46,798.47,15.91,19.748,83.78,39.68,63.53,8.223,46.87
WF0002,MainEtch,47,805.28,17.9,19.666,84.21,42.02,63.01,8.167,40.96
WF0002,MainEtch,48,798.95,16.82,19.814,84.86,41.44,62.78,7.973,43.44
WF0002,MainEtch,49,791.89,17.98,20.051,85.59,42.51,63.22,7.948,42.3
WF0002,Overetch,50,373.23,12.33,27.051,92.46,19.72,60.82,8.221,43.65
WF0002,Overetch,51,411.72,9.82,27.235,91.02,19.61,60.48,7.816,44.31
WF0002,Overetch,52,437.2,9.04,26.132,91.65,20.66,60.57,8.165,42.16
WF0002,Overetch,53,461.58,10.47,26.091,92.32,19.9,60.74,7.942,43.66
WF0002,Overetch,54,476.41,11.73,24.959,94.44,20.19,60.36,8.061,40.65
WF0002,Overetch,55,468.51,12.52,25.283,92.87,19.41,60.69,7.588,41.04
WF0002,Overetch,56,488.88,8.22,25.173,97.55,22.04,61.03,7.639,43.37
WF0002,Overetch,57,486.22,10.39,25.404,97.6,21.25,60.45,7.899,40.25
WF0002,Overetch,58,489.26,8.56,24.264,95.78,19.49,61.03,8.123,43.05
WF0002,Overetch,59,493.85,10.71,24.819,97.37,22.5,59.75,7.939,40.32
WF0003,Stabilize,0,25.27,8.79,33.898,96.82,-0.03,59.41,8.119,101.28
WF0003,Stabilize,1,24.57,2.83,32.585,96.63,-1.67,59.55,8.089,97.38
WF0003,Stabilize,2,32.81,5.61,31.044,98.26,-2.66,59.54,8.023,104.34
WF0003,Stabilize,3,27.44,7.75,31.452,99.82,-1.55,59.57,7.982,96.7
WF0003,Stabilize,4,37.53,9.22,31.134,98.89,1.01,59.56,7.843,101.25
WF0003,Stabilize,5,30.55,8.0,31.467,98.96,0.73,59.95,8.134,101.58
WF0003,Stabilize,6,24.37,4.31,29.653,98.09,-1.2,59.54,8.02,101.69
WF0003,Stabilize,7,32.54,10.13,30.333,98.37,-0.3,59.42,7.94,100.76
WF0003,Stabilize,8,40.78,7.36,30.169,100.85,0.1,59.56,7.829,98.52
WF0003,Stabilize,9,38.5,8.82,30.415,102.64,-0.73,59.74,8.058,97.96
WF0003,MainEtch,10,645.77,25.7,23.024,77.36,36.99,61.93,8.057,97.3
WF0003,MainEtch,11,704.69,24.4,21.931,78.68,38.13,61.72,7.795,103.47
WF0003,MainEtch,12,737.03,20.24,21.484,80.2,38.2,61.93,8.05,101.75
WF0003,MainEtch,13,772.34,23.9,21.292,80.76,37.64,62.03,8.102,101.1
WF0003,MainEtch,14,803.34,20.46,20.461,80.39,39.83,62.5,8.031,99.81
WF0003,MainEtch,15,791.68,22.48,20.436,80.79,37.08,61.45,7.904,101.83
WF0003,MainEtch,16,808.51,20.98,20.335,81.93,39.33,61.79,8.298,99.41
WF0003,MainEtch,17,820.73,24.62,20.018,82.45,42.13,62.01,8.127,99.98
WF0003,MainEtch,18,824.89,23.52,19.292,78.89,36.99,62.33,7.91,99.77
WF0003,MainEtch,19,816.34,22.81,19.691,80.72,41.61,62.5,8.119,96.58
WF0003,MainEtch,20,816.91,26.26,20.902,77.8,40.5,61.94,8.012,98.54
WF0003,MainEtch,21,830.17,26.11,19.918,81.52,39.82,62.02,7.986,101.99
