wafer_id,timestamp,chamber,recipe,fault_type,label
WF0001,2026-03-02 06:05:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0002,2026-03-02 06:28:00,CH-B,OX_ETCH_B,NORMAL,0
WF0003,2026-03-02 06:49:00,CH-C,OX_ETCH_A,NORMAL,0
WF0004,2026-03-02 07:13:00,CH-A,OX_ETCH_B,NORMAL,0
WF0005,2026-03-02 07:33:00,CH-B,OX_ETCH_A,NORMAL,0
WF0006,2026-03-02 08:01:00,CH-C,OX_ETCH_B,NORMAL,0
WF0007,2026-03-02 08:20:00,CH-A,OX_ETCH_A,NORMAL,0
WF0008,2026-03-02 08:42:00,CH-B,OX_ETCH_B,NORMAL,0
WF0009,2026-03-02 09:07:00,CH-C,OX_ETCH_A,NORMAL,0
WF0010,2026-03-02 09:31:00,CH-A,OX_ETCH_B,NORMAL,0
WF0011,2026-03-02 09:50:00,CH-B,OX_ETCH_A,NORMAL,0
WF0012,2026-03-02 10:15:00,CH-C,OX_ETCH_B,NORMAL,0
WF0013,2026-03-02 10:36:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0014,2026-03-02 11:04:00,CH-B,OX_ETCH_B,NORMAL,0
WF0015,2026-03-02 11:26:00,CH-C,OX_ETCH_A,NORMAL,0
WF0016,2026-03-02 11:50:00,CH-A,OX_ETCH_B,NORMAL,0
WF0017,2026-03-02 12:08:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0018,2026-03-02 12:33:00,CH-C,OX_ETCH_B,NORMAL,0
WF0019,2026-03-02 12:59:00,CH-A,OX_ETCH_A,NORMAL,0
WF0020,2026-03-02 13:20:00,CH-B,OX_ETCH_B,NORMAL,0
WF0021,2026-03-02 13:41:00,CH-C,OX_ETCH_A,NORMAL,0
WF0022,2026-03-02 14:04:00,CH-A,OX_ETCH_B,NORMAL,0
WF0023,2026-03-02 14:28:00,CH-B,OX_ETCH_A,NORMAL,0
WF0024,2026-03-02 14:51:00,CH-C,OX_ETCH_B,NORMAL,0
WF0025,2026-03-02 15:18:00,CH-A,OX_ETCH_A,NORMAL,0
WF0026,2026-03-02 15:41:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0027,2026-03-02 15:58:00,CH-C,OX_ETCH_A,NORMAL,0
WF0028,2026-03-02 16:24:00,CH-A,OX_ETCH_B,NORMAL,0
WF0029,2026-03-02 16:44:00,CH-B,OX_ETCH_A,NORMAL,0
WF0030,2026-03-02 17:12:00,CH-C,OX_ETCH_B,NORMAL,0
WF0031,2026-03-02 17:33:00,CH-A,OX_ETCH_A,RF_UNSTABLE,1
WF0032,2026-03-02 17:53:00,CH-B,OX_ETCH_B,NORMAL,0
WF0033,2026-03-02 18:22:00,CH-C,OX_ETCH_A,RF_UNSTABLE,1
WF0034,2026-03-02 18:45:00,CH-A,OX_ETCH_B,NORMAL,0
WF0035,2026-03-02 19:02:00,CH-B,OX_ETCH_A,NORMAL,0
WF0036,2026-03-02 19:27:00,CH-C,OX_ETCH_B,NORMAL,0
WF0037,2026-03-02 19:53:00,CH-A,OX_ETCH_A,NORMAL,0
WF0038,2026-03-02 20:13:00,CH-B,OX_ETCH_B,NORMAL,0
WF0039,2026-03-02 20:34:00,CH-C,OX_ETCH_A,NORMAL,0
WF0040,2026-03-02 21:03:00,CH-A,OX_ETCH_B,NORMAL,0
WF0041,2026-03-02 21:21:00,CH-B,OX_ETCH_A,NORMAL,0
WF0042,2026-03-02 21:46:00,CH-C,OX_ETCH_B,NORMAL,0
WF0043,2026-03-02 22:06:00,CH-A,OX_ETCH_A,NORMAL,0
WF0044,2026-03-02 22:32:00,CH-B,OX_ETCH_B,NORMAL,0
WF0045,2026-03-02 22:54:00,CH-C,OX_ETCH_A,NORMAL,0
WF0046,2026-03-02 23:21:00,CH-A,OX_ETCH_B,NORMAL,0
WF0047,2026-03-02 23:42:00,CH-B,OX_ETCH_A,NORMAL,0
WF0048,2026-03-03 00:07:00,CH-C,OX_ETCH_B,NORMAL,0
WF0049,2026-03-03 00:30:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0050,2026-03-03 00:51:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0051,2026-03-03 01:12:00,CH-C,OX_ETCH_A,NORMAL,0
WF0052,2026-03-03 01:34:00,CH-A,OX_ETCH_B,NORMAL,0
WF0053,2026-03-03 01:56:00,CH-B,OX_ETCH_A,NORMAL,0
WF0054,2026-03-03 02:22:00,CH-C,OX_ETCH_B,NORMAL,0
WF0055,2026-03-03 02:47:00,CH-A,OX_ETCH_A,RF_UNSTABLE,1
WF0056,2026-03-03 03:10:00,CH-B,OX_ETCH_B,NORMAL,0
WF0057,2026-03-03 03:34:00,CH-C,OX_ETCH_A,NORMAL,0
WF0058,2026-03-03 03:54:00,CH-A,OX_ETCH_B,NORMAL,0
WF0059,2026-03-03 04:16:00,CH-B,OX_ETCH_A,NORMAL,0
WF0060,2026-03-03 04:37:00,CH-C,OX_ETCH_B,NORMAL,0
WF0061,2026-03-03 05:01:00,CH-A,OX_ETCH_A,NORMAL,0
WF0062,2026-03-03 05:29:00,CH-B,OX_ETCH_B,NORMAL,0
WF0063,2026-03-03 05:52:00,CH-C,OX_ETCH_A,NORMAL,0
WF0064,2026-03-03 06:13:00,CH-A,OX_ETCH_B,NORMAL,0
WF0065,2026-03-03 06:32:00,CH-B,OX_ETCH_A,PRESSURE_DRIFT,1
WF0066,2026-03-03 07:00:00,CH-C,OX_ETCH_B,NORMAL,0
WF0067,2026-03-03 07:18:00,CH-A,OX_ETCH_A,NORMAL,0
WF0068,2026-03-03 07:42:00,CH-B,OX_ETCH_B,RF_UNSTABLE,1
WF0069,2026-03-03 08:09:00,CH-C,OX_ETCH_A,NORMAL,0
WF0070,2026-03-03 08:33:00,CH-A,OX_ETCH_B,NORMAL,0
WF0071,2026-03-03 08:53:00,CH-B,OX_ETCH_A,NORMAL,0
WF0072,2026-03-03 09:18:00,CH-C,OX_ETCH_B,NORMAL,0
WF0073,2026-03-03 09:36:00,CH-A,OX_ETCH_A,NORMAL,0
WF0074,2026-03-03 10:05:00,CH-B,OX_ETCH_B,NORMAL,0
WF0075,2026-03-03 10:24:00,CH-C,OX_ETCH_A,NORMAL,0
WF0076,2026-03-03 10:51:00,CH-A,OX_ETCH_B,NORMAL,0
WF0077,2026-03-03 11:12:00,CH-B,OX_ETCH_A,NORMAL,0
WF0078,2026-03-03 11:36:00,CH-C,OX_ETCH_B,RF_UNSTABLE,1
WF0079,2026-03-03 11:56:00,CH-A,OX_ETCH_A,NORMAL,0
WF0080,2026-03-03 12:22:00,CH-B,OX_ETCH_B,NORMAL,0
WF0081,2026-03-03 12:45:00,CH-C,OX_ETCH_A,NORMAL,0
WF0082,2026-03-03 13:05:00,CH-A,OX_ETCH_B,NORMAL,0
WF0083,2026-03-03 13:31:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0084,2026-03-03 13:52:00,CH-C,OX_ETCH_B,NORMAL,0
WF0085,2026-03-03 14:17:00,CH-A,OX_ETCH_A,NORMAL,0
WF0086,2026-03-03 14:40:00,CH-B,OX_ETCH_B,NORMAL,0
WF0087,2026-03-03 15:02:00,CH-C,OX_ETCH_A,NORMAL,0
WF0088,2026-03-03 15:24:00,CH-A,OX_ETCH_B,NORMAL,0
WF0089,2026-03-03 15:49:00,CH-B,OX_ETCH_A,NORMAL,0
WF0090,2026-03-03 16:12:00,CH-C,OX_ETCH_B,NORMAL,0
WF0091,2026-03-03 16:30:00,CH-A,OX_ETCH_A,GAS_LEAK,1
WF0092,2026-03-03 16:59:00,CH-B,OX_ETCH_B,NORMAL,0
WF0093,2026-03-03 17:22:00,CH-C,OX_ETCH_A,NORMAL,0
WF0094,2026-03-03 17:43:00,CH-A,OX_ETCH_B,NORMAL,0
WF0095,2026-03-03 18:05:00,CH-B,OX_ETCH_A,NORMAL,0
WF0096,2026-03-03 18:31:00,CH-C,OX_ETCH_B,NORMAL,0
WF0097,2026-03-03 18:49:00,CH-A,OX_ETCH_A,NORMAL,0
WF0098,2026-03-03 19:11:00,CH-B,OX_ETCH_B,NORMAL,0
WF0099,2026-03-03 19:34:00,CH-C,OX_ETCH_A,NORMAL,0
WF0100,2026-03-03 20:01:00,CH-A,OX_ETCH_B,RF_UNSTABLE,1
WF0101,2026-03-03 20:24:00,CH-B,OX_ETCH_A,RF_UNSTABLE,1
WF0102,2026-03-03 20:46:00,CH-C,OX_ETCH_B,NORMAL,0
WF0103,2026-03-03 21:07:00,CH-A,OX_ETCH_A,NORMAL,0
WF0104,2026-03-03 21:34:00,CH-B,OX_ETCH_B,NORMAL,0
WF0105,2026-03-03 21:54:00,CH-C,OX_ETCH_A,NORMAL,0
WF0106,2026-03-03 22:18:00,CH-A,OX_ETCH_B,NORMAL,0
WF0107,2026-03-03 22:39:00,CH-B,OX_ETCH_A,NORMAL,0
WF0108,2026-03-03 23:01:00,CH-C,OX_ETCH_B,NORMAL,0
WF0109,2026-03-03 23:28:00,CH-A,OX_ETCH_A,NORMAL,0
WF0110,2026-03-03 23:52:00,CH-B,OX_ETCH_B,PRESSURE_DRIFT,1
WF0111,2026-03-04 00:14:00,CH-C,OX_ETCH_A,NORMAL,0
WF0112,2026-03-04 00:33:00,CH-A,OX_ETCH_B,NORMAL,0
WF0113,2026-03-04 01:02:00,CH-B,OX_ETCH_A,NORMAL,0
WF0114,2026-03-04 01:19:00,CH-C,OX_ETCH_B,GAS_LEAK,1
WF0115,2026-03-04 01:48:00,CH-A,OX_ETCH_A,NORMAL,0
WF0116,2026-03-04 02:08:00,CH-B,OX_ETCH_B,NORMAL,0
WF0117,2026-03-04 02:28:00,CH-C,OX_ETCH_A,NORMAL,0
