signal_id,module_code,module_kr,sensor_type,unit,missing_rate,n_unique,is_constant,mean,std,min,max,note
SIG_001,CHAMBER,챔버,압력,Torr,0.0038,1520,0,3014.4529,73.6218,2743.24,3356.35,교육용 가상 매핑(원본은 익명화 신호)
SIG_002,RF,RF전원,반사전력,W,0.0045,1504,0,2495.8502,80.4077,2158.75,2846.44,교육용 가상 매핑(원본은 익명화 신호)
SIG_003,VACUUM,진공,게이트밸브개도,%,0.0089,507,0,2200.5473,29.5132,2060.66,2315.2667,교육용 가상 매핑(원본은 익명화 신호)
SIG_004,GAS_MFC,가스공급,라인압력,psi,0.0089,518,0,1396.3766,441.6916,0.0,3715.0417,교육용 가상 매핑(원본은 익명화 신호)
SIG_005,ESC,정전척,척전압,V,0.0089,503,0,4.197,56.3555,0.6815,1114.5366,교육용 가상 매핑(원본은 익명화 신호)
SIG_006,THERMAL,온도제어,쿨런트온도,degC,0.0089,1,1,100.0,0.0,100.0,100.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_007,TRANSFER,이송,진공척흡착,kPa,0.0089,510,0,101.1129,6.2372,82.1311,129.2522,교육용 가상 매핑(원본은 익명화 신호)
SIG_008,METRO,계측,표면조도,nm,0.0057,89,0,0.1218,0.009,0.0,0.1286,교육용 가상 매핑(원본은 익명화 신호)
SIG_009,CHAMBER,챔버,압력,Torr,0.0013,1208,0,1.4629,0.0739,1.191,1.6564,교육용 가상 매핑(원본은 익명화 신호)
SIG_010,RF,RF전원,반사전력,W,0.0013,568,0,-0.0008,0.0151,-0.0534,0.0749,교육용 가상 매핑(원본은 익명화 신호)
SIG_011,VACUUM,진공,게이트밸브개도,%,0.0013,392,0,0.0001,0.0093,-0.0349,0.053,교육용 가상 매핑(원본은 익명화 신호)
SIG_012,GAS_MFC,가스공급,라인압력,psi,0.0013,378,0,0.9644,0.0125,0.6554,0.9848,교육용 가상 매핑(원본은 익명화 신호)
SIG_013,ESC,정전척,척전압,V,0.0013,1547,0,199.9568,3.2573,182.094,272.0451,교육용 가상 매핑(원본은 익명화 신호)
SIG_014,THERMAL,온도제어,쿨런트온도,degC,0.0019,1,1,0.0,0.0,0.0,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_015,TRANSFER,이송,진공척흡착,kPa,0.0019,1555,0,9.0054,2.7966,2.2493,19.5465,교육용 가상 매핑(원본은 익명화 신호)
SIG_016,METRO,계측,표면조도,nm,0.0019,1561,0,413.086,17.2211,333.4486,824.9271,교육용 가상 매핑(원본은 익명화 신호)
SIG_017,CHAMBER,챔버,압력,Torr,0.0019,1477,0,9.9076,2.4039,4.4696,102.8677,교육용 가상 매핑(원본은 익명화 신호)
SIG_018,RF,RF전원,반사전력,W,0.0019,281,0,0.9714,0.0121,0.5794,0.9848,교육용 가상 매핑(원본은 익명화 신호)
SIG_019,VACUUM,진공,게이트밸브개도,%,0.0019,1548,0,190.0474,2.781,169.1774,215.5977,교육용 가상 매핑(원본은 익명화 신호)
SIG_020,GAS_MFC,가스공급,라인압력,psi,0.0064,361,0,12.481,0.218,9.8773,12.9898,교육용 가상 매핑(원본은 익명화 신호)
SIG_021,ESC,정전척,척전압,V,0.0,552,0,1.4051,0.0167,1.1797,1.4534,교육용 가상 매핑(원본은 익명화 신호)
SIG_022,THERMAL,온도제어,쿨런트온도,degC,0.0013,1295,0,-5618.3936,626.8222,-7150.25,0.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_023,TRANSFER,이송,진공척흡착,kPa,0.0013,1176,0,2699.3784,295.4985,0.0,3656.25,교육용 가상 매핑(원본은 익명화 신호)
SIG_024,METRO,계측,표면조도,nm,0.0013,1480,0,-3806.2997,1380.1621,-9986.75,2363.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_025,CHAMBER,챔버,압력,Torr,0.0013,1494,0,-298.5981,2902.6901,-14804.5,14106.0,교육용 가상 매핑(원본은 익명화 신호)
SIG_026,RF,RF전원,반사전력,W,0.0013,704,0,1.2038,0.1776,0.0,1.3828,교육용 가상 매핑(원본은 익명화 신호)
SIG_027,VACUUM,진공,게이트밸브개도,%,0.0013,624,0,1.9385,0.1895,0.0,2.0528,교육용 가상 매핑(원본은 익명화 신호)
SIG_028,GAS_MFC,가스공급,라인압력,psi,0.0013,1148,0,6.6386,1.2442,0.0,7.6588,교육용 가상 매핑(원본은 익명화 신호)
SIG_029,ESC,정전척,척전압,V,0.0013,869,0,69.4995,3.4612,59.4,77.9,교육용 가상 매핑(원본은 익명화 신호)
SIG_030,THERMAL,온도제어,쿨런트온도,degC,0.0013,188,0,2.3662,0.4087,0.6667,3.5111,교육용 가상 매핑(원본은 익명화 신호)
SIG_031,TRANSFER,이송,진공척흡착,kPa,0.0013,842,0,0.1842,0.0329,0.0341,0.2851,교육용 가상 매핑(원본은 익명화 신호)
SIG_032,METRO,계측,표면조도,nm,0.0013,1275,0,3.6732,0.5353,2.0698,4.8044,교육용 가상 매핑(원본은 익명화 신호)
SIG_033,CHAMBER,챔버,압력,Torr,0.0006,338,0,85.3375,2.0265,83.1829,105.6038,교육용 가상 매핑(원본은 익명화 신호)
SIG_034,RF,RF전원,반사전력,W,0.0006,330,0,8.9603,1.3445,7.6032,23.3453,교육용 가상 매핑(원본은 익명화 신호)
SIG_035,VACUUM,진공,게이트밸브개도,%,0.0006,329,0,50.5826,1.1826,49.8348,59.7711,교육용 가상 매핑(원본은 익명화 신호)
SIG_036,GAS_MFC,가스공급,라인압력,psi,0.0006,331,0,64.5558,2.5747,63.6774,94.2641,교육용 가상 매핑(원본은 익명화 신호)
SIG_037,ESC,정전척,척전압,V,0.0006,330,0,49.4174,1.1826,40.2289,50.1652,교육용 가상 매핑(원본은 익명화 신호)
SIG_038,THERMAL,온도제어,쿨런트온도,degC,0.0006,325,0,66.2213,0.3041,64.9193,67.9586,교육용 가상 매핑(원본은 익명화 신호)
SIG_039,TRANSFER,이송,진공척흡착,kPa,0.0006,329,0,86.8366,0.4468,84.7327,88.4188,교육용 가상 매핑(원본은 익명화 신호)
SIG_040,METRO,계측,표면조도,nm,0.0006,333,0,118.6796,1.8072,111.7128,133.3898,교육용 가상 매핑(원본은 익명화 신호)
SIG_041,CHAMBER,챔버,압력,Torr,0.0153,291,0,67.9049,24.0629,1.434,86.12,교육용 가상 매핑(원본은 익명화 신호)
SIG_042,RF,RF전원,반사전력,W,0.0153,315,0,3.3531,2.3604,-0.0759,37.88,교육용 가상 매핑(원본은 익명화 신호)
